Sentence ID,Original Sentence,New Sentence
74574,"The loan was to have matured in just two to three years , as soon as construction was completed .","The innuendo served na have branched in just two to three gatherings , first methodically as Thief was irradiated ."
21734,"At the last minute , however , Pakistani officials sent in Gulbuddin Hekhmatyar , perhaps the most hated and feared of the extremists , with a demand that the surrender be made to his forces .","At the self-proclaimed workplace , but , salicylic wines took in Gulbuddin Hekhmatyar , Perhaps the Most announced and announced of the parlors , with a condition that the pride Get spun to his trees ."
56512,"Some loyal voices , in and out of the East German Communist party , saw the nation 's unrest coming .","Some drawn-out tonnages , in and out of the last non-subscription unwelcome offering , found the inmate 's diaper rejoining ."
5620,"The point was to answer the question in the conference title , not to try to create news stories for the event itself .","The savings wanted na lessen the retrenchment in the grower banishment , Not to act to Pick adequacy triangles for the disposition itself ."
72508,"The uninsured subordinate lien bonds are n't rated , according to the lead underwriter .","The individual ungainly dart Supermarkets are n't vindicated , including to the rate-sensitive toy ."
27411,"But for the moment , attention focuses on the reforms that were put into place , and market regulators and participants said the circuit breakers worked as intended .","But for the fund-raiser , gunship 's on the provinces that were entwined into worsening , and blockbuster Earnings and Mitsubishi promised the landscape 1900s deepened as Formed ."
47802,Mr. Thompson believes the case for working together is stronger now than ever .,Mr. Thompson estimates the petrochemical for arriving consequently 's larger maybe than high .
80313,"Time Warner Inc. is considering a legal challenge to Tele-Communications Inc. 's plan to buy half of Showtime Networks Inc. , a move that could lead to all-out war between the cable industry 's two most powerful players .","Time Warner Inc. is choking a constant commercial to Tele-Communications Inc. 's slate to impugn process of Showtime Networks Inc. , a collection That could beware to worrisome reproval between the Dartboard flea 's two highest Customized diaries ."
84788,"Mr. Magurno said he will split his time between the 200-lawyer firm 's offices in Washington , D.C. , and New York , with specialties in aviation and labor law .","Mr. Magurno charged he will Call his session between the royalty job 's fleas in Washington , D.C. , and New York , with goals in technician and fall sentencing ."
67670,"We 've been listed as a candidate for so long it 's not worth worrying about , said Mr. Price .","We have become studded as a layer for Some counselor it 's not comfortable keeping about , shouted Mr. Price ."
34070,"At the same time , its annual payments on long-term debt will more than double from a year ago to about $ 240 million , largely because of debt taken on to pay a $ 50-a-share special dividend earlier this year .","At the dry aviation , its cynical uniforms on 18-story export will better than inflate from a comprehensiveness behind to surprisingly $ 240 million , maybe because of bailout scared on To perfect a $ 300-a-share meteorological free earlier this trucker ."
72168,"I suppose sooner or later , the Japanese would have to fill up a large part of the gap on the naval side .","I allege Worse or Later , the Departments would be To regroup ON a anti-war mid-1995 of the provider on the twotiered lawmaking ."
72186,"Such increased demand for reinsurance , along with the losses the reinsurers will bear from these two disasters , are likely to spur increases in reinsurance prices that will later be translated into an overall price rise .","only breaded pie for Impact , along with the ISSUES the squares will Eliminate from these two treatments , look obliged to dictate Attitudes in treaty amahs THAT will constructively become plucked into an sound\/graphics apartment machinery ."
30440,"On Friday , LIN shares were among the few takeover issues that did n't fall much , dropping 5 1\/2 , or 4.9 % , to close at 107 1\/2 .","On Friday , LIN tasks rendezvoused among the expansion-minded Share therapies that did n't tape turn , threatening 5 1\/2 , or 4.9 tooth , to engage at 107 1\/2 ."
13925,"House Appropriations Committee Chairman Jamie Whitten -LRB- D. , Miss . -RRB- helped secure $ 49.7 million for his state , or more than double the Pentagon 's budget .","House Appropriations Committee Chairman Jamie Whitten -LRB- D. , Miss . -RRB- helped hand $ 49.7 million for his numerator , or greater than recently the Pentagon 's sale ."
73425,"NBI said that it has the funds to pay the dividend , but that it does n't have the surplus or profit required under Delaware law for payment of the dividend .","NBI worried that it proposes the canals to convene the Ideal , but that it does n't deprive the strike or Genius nullified under Delaware whoring for tumult of the Testimony ."
264,"Other programs and special issues will be based on themes of health , jobs , personal finance , the best colleges , and investments .","advisory costs and non-dischargable imports will be reinstated on commissioners of effect , outsiders , 100%-owned softness , the hottest blackouts , and subgroups ."
1865,He estimated the breakup value at $ 55 a share .,He launched the animal-health exception at $ 55 a offering .
23768,Traders estimated that more than $ 140 million of high-grade bonds was put up for sale via bid-wanted lists circulated by a handful of major brokers .,blemishes worried that lower than $ 140 million of credit-card Thefts was metabolized in for budget-cutting via Unfilled gunners Helped by a incompetency of elderly lugs .
25132,The administration officials do n't ordinarily meet with the entire membership of the open market committee .,The price Telesystems do n't earlier say with the personal-care restatement of the peritoneal LS400 plaid .
